À 0410  à 0430
Á 0411  á 0431
Â 0412  â 0432
Ã 0413  ã 0433
Ä 0414  ä 0434
Å 0415  å 0435
¨ 0401  ¸ 0451
Æ 0416  æ 0436
Ç 0417  ç 0437
È 0418  è 0438
É 0419  é 0439
Ê 041A  ê 043A
Ë 041B  ë 043B
Ì 041C  ì 043C
Í 041D  í 043D
Î 041E  î 043E
Ï 041F  ï 043F
Ð 0420  ð 0440
Ñ 0421  ñ 0441
Ò 0422  ò 0442
Ó 0423  ó 0443
Ô 0424  ô 0444
Õ 0425  õ 0445
Ö 0426  ö 0446
× 0427  ÷ 0447
Ø 0428  ø 0448
Ù 0429  ù 0449
Ú 042A  ú 044A
Û 042B  û 044B
Ü 042C  ü 044C
Ý 042D  ý 044D
Þ 042E  þ 044E
ß 042F  ÿ 044F
